ts,host,usage
2017-01-01 00:00:00,host_000000,92.77
2017-01-01 00:00:00,host_000001,76.26
2017-01-01 00:00:00,host_000002,6.94
2017-01-01 00:00:00,host_000003,76.03
2017-01-01 00:00:00,host_000004,28.73
2017-01-01 00:00:00,host_000005,78.11
2017-01-01 00:00:00,host_000006,99.62
2017-01-01 00:00:00,host_000007,0.12
2017-01-01 00:00:00,host_000008,3.10
2017-01-01 00:00:00,host_000009,79.68
2017-01-01 00:00:00,host_000010,45.34
2017-01-01 00:00:00,host_000011,83.06
2017-01-01 00:00:00,host_000012,8.21
2017-01-01 00:00:00,host_000013,82.78
2017-01-01 00:00:00,host_000014,51.28
2017-01-01 00:00:00,host_000015,30.60
2017-01-01 00:00:00,host_000016,24.26
2017-01-01 00:00:00,host_000017,28.05
2017-01-01 00:00:00,host_000018,12.09
2017-01-01 00:00:00,host_000019,90.35
2017-01-01 00:00:10,host_000000,71.26
2017-01-01 00:00:10,host_000001,18.07
2017-01-01 00:00:10,host_000002,21.76
2017-01-01 00:00:10,host_000003,27.78
2017-01-01 00:00:10,host_000004,73.70
2017-01-01 00:00:10,host_000005,78.70
2017-01-01 00:00:10,host_000006,67.40
2017-01-01 00:00:10,host_000007,86.90
2017-01-01 00:00:10,host_000008,9.37
2017-01-01 00:00:10,host_000009,36.37
2017-01-01 00:00:10,host_000010,53.60
2017-01-01 00:00:10,host_000011,29.69
2017-01-01 00:00:10,host_000012,30.80
2017-01-01 00:00:10,host_000013,42.00
2017-01-01 00:00:10,host_000014,72.05
2017-01-01 00:00:10,host_000015,13.61
2017-01-01 00:00:10,host_000016,57.06
2017-01-01 00:00:10,host_000017,54.92
2017-01-01 00:00:10,host_000018,59.05
2017-01-01 00:00:10,host_000019,81.26
2017-01-01 00:00:20,host_000000,54.64
2017-01-01 00:00:20,host_000001,90.15
2017-01-01 00:00:20,host_000002,55.42
2017-01-01 00:00:20,host_000003,1.29
2017-01-01 00:00:20,host_000004,70.62
2017-01-01 00:00:20,host_000005,57.21
2017-01-01 00:00:20,host_000006,51.27
2017-01-01 00:00:20,host_000007,83.03
2017-01-01 00:00:20,host_000008,61.05
2017-01-01 00:00:20,host_000009,90.96
2017-01-01 00:00:20,host_000010,34.13
2017-01-01 00:00:20,host_000011,16.05
2017-01-01 00:00:20,host_000012,56.26
2017-01-01 00:00:20,host_000013,40.27
2017-01-01 00:00:20,host_000014,73.91
2017-01-01 00:00:20,host_000015,79.59
2017-01-01 00:00:20,host_000016,65.45
2017-01-01 00:00:20,host_000017,53.06
2017-01-01 00:00:20,host_000018,76.66
2017-01-01 00:00:20,host_000019,55.56
2017-01-01 00:00:30,host_000000,29.38
2017-01-01 00:00:30,host_000001,94.91
2017-01-01 00:00:30,host_000002,6.31
2017-01-01 00:00:30,host_000003,47.12
2017-01-01 00:00:30,host_000004,41.20
2017-01-01 00:00:30,host_000005,7.98
2017-01-01 00:00:30,host_000006,6.97
2017-01-01 00:00:30,host_000007,80.59
2017-01-01 00:00:30,host_000008,66.25
2017-01-01 00:00:30,host_000009,61.75
2017-01-01 00:00:30,host_000010,87.08
2017-01-01 00:00:30,host_000011,18.22
2017-01-01 00:00:30,host_000012,27.78
2017-01-01 00:00:30,host_000013,10.50
2017-01-01 00:00:30,host_000014,40.58
2017-01-01 00:00:30,host_000015,27.03
2017-01-01 00:00:30,host_000016,1.65
2017-01-01 00:00:30,host_000017,22.36
2017-01-01 00:00:30,host_000018,72.23
2017-01-01 00:00:30,host_000019,99.14
2017-01-01 00:00:40,host_000000,67.33
2017-01-01 00:00:40,host_000001,87.90
2017-01-01 00:00:40,host_000002,95.61
2017-01-01 00:00:40,host_000003,96.63
2017-01-01 00:00:40,host_000004,95.19
2017-01-01 00:00:40,host_000005,33.65
2017-01-01 00:00:40,host_000006,44.05
2017-01-01 00:00:40,host_000007,91.74
2017-01-01 00:00:40,host_000008,46.80
2017-01-01 00:00:40,host_000009,57.35
2017-01-01 00:00:40,host_000010,99.06
2017-01-01 00:00:40,host_000011,30.81
2017-01-01 00:00:40,host_000012,8.46
2017-01-01 00:00:40,host_000013,78.57
2017-01-01 00:00:40,host_000014,14.16
2017-01-01 00:00:40,host_000015,26.72
2017-01-01 00:00:40,host_000016,16.87
2017-01-01 00:00:40,host_000017,18.09
2017-01-01 00:00:40,host_000018,56.86
2017-01-01 00:00:40,host_000019,51.04
